Mod:Item:MetaData, Localized Name
qmd:discharge_lamp:5, 氖放电灯
qmd:discharge_lamp:6, 氩放电灯
qmd:helium_collector, 氦收集器
qmd:neon_collector, 氖收集器
qmd:argon_collector, 氩收集器
qmd:neutral_containment_controller, 电中性物质遏制室控制器
qmd:containment_casing, 遏制器外壳
qmd:containment_glass, 透明遏制器外壳
qmd:containment_port, 遏制器物品端口
qmd:containment_beam_port, 遏制器束流端口
qmd:containment_vent, 遏制器冷却液出入口
qmd:containment_energy_port, 遏制器能量端口
qmd:containment_coil, 遏制器线圈
qmd:containment_laser, 遏制器激光器
qmd:strontium_90_block, 锶-90块
qmd:creative_particle_source, 创造粒子源
qmd:turbine_blade_super_alloy, 超级合金涡轮机转子叶片
qmd:dust:0, 钨粉
qmd:dust:1, 铌粉
qmd:dust:2, 铬粉
qmd:dust:3, 钛粉
qmd:dust:4, 钴粉
qmd:dust:5, 镍粉
qmd:dust:6, 铪粉
qmd:dust:7, 锌粉
qmd:dust:8, 锇粉
qmd:dust:9, 铱粉
qmd:dust:10, 铂粉
qmd:dust:11, 钠粉
qmd:dust:12, 钾粉
qmd:dust:13, 钙粉
qmd:dust:14, 锶粉
qmd:dust2:0, 钇粉
qmd:dust2:1, 钕粉
qmd:ingot:0, 钨锭
qmd:ingot:1, 铌锭
qmd:ingot:2, 铬锭
qmd:ingot:3, 钛锭
qmd:ingot:4, 钴锭
qmd:ingot:5, 镍锭
qmd:ingot:6, 铪锭
qmd:ingot:7, 锌锭
qmd:ingot:8, 锇锭
qmd:ingot:9, 铱锭
qmd:ingot:10, 铂锭
qmd:ingot:11, 钠锭
qmd:ingot:12, 钾锭
qmd:ingot:13, 钙锭
qmd:ingot:14, 锶锭
qmd:ingot2:0, 钇锭
qmd:ingot2:1, 钕锭
qmd:ingot_alloy:0, 碳化钨锭
qmd:ingot_alloy:1, 铌锡合金锭
qmd:ingot_alloy:2, 不锈钢锭
qmd:ingot_alloy:3, 铌钛合金锭
qmd:ingot_alloy:4, 铱锇合金锭
qmd:ingot_alloy:5, 镍铬合金锭
qmd:ingot_alloy:6, 超级合金锭
qmd:canister:0, 罐
qmd:canister:1, 氢罐
qmd:canister:2, 氘罐
qmd:canister:3, 氚罐
qmd:canister:4, 氦-3 罐
qmd:canister:5, 氦罐
qmd:canister:6, 乙硼烷罐
qmd:source:0, 钨丝
qmd:source:1, 钠-22 源
qmd:source:2, 钴-60 源
qmd:source:3, 铱-192 源
qmd:source:4, 钙-48 源
qmd:isotope:0, 钠-22
qmd:isotope:1, 铍-7
qmd:isotope:2, 镁-24
qmd:isotope:3, 镁-26
qmd:isotope:4, 铀-234
qmd:isotope:5, 镤-231 粉
qmd:isotope:6, 钴-60
qmd:isotope:7, 铱-192
qmd:isotope:8, 钙-48
qmd:part:0, 空冷却器
qmd:part:1, 空探测器外壳
qmd:part:2, 钨酸铅闪烁体
qmd:part:3, 塑料闪烁体
qmd:part:4, 铋锶钙铜氧化物超导线缆
qmd:part:5, 掺钕钇铝石榴石杆
qmd:part:6, 镀金钨线缆
qmd:part:7, 空线缆室
qmd:part:8, 钕磁铁
qmd:part:9, 加速膛
qmd:part:10, 激光器组件
qmd:semiconductor:0, P 型掺杂硅
qmd:semiconductor:1, N 型掺杂硅
qmd:semiconductor:2, 硅晶柱
qmd:semiconductor:3, 硅晶圆
qmd:semiconductor:4, 基础处理器
qmd:semiconductor:5, 高级处理器
qmd:semiconductor:6, 精英处理器
qmd:chemical_dust:0, 氧化钨
qmd:chemical_dust:1, 铋锶钙铜氧化物粉
qmd:chemical_dust:2, 硝酸钠
qmd:chemical_dust:3, 氯化钠
qmd:chemical_dust:4, 氧化铜
qmd:chemical_dust:5, 氧化铪
qmd:chemical_dust:6, 氯化锶
qmd:chemical_dust:7, 硫化锌
qmd:waste_fission:0, 轻裂变废料
qmd:waste_fission:1, 重裂变废料
qmd:waste_spallation:0, 锎散裂废料
qmd:waste_spallation:1, 锫散裂废料
qmd:waste_spallation:2, 锔散裂废料
qmd:waste_spallation:3, 镅散裂废料
qmd:waste_spallation:4, 钚散裂废料
qmd:waste_spallation:5, 镎散裂废料
qmd:waste_spallation:6, 铀散裂废料
qmd:waste_spallation:7, 镤散裂废料
qmd:waste_spallation:8, 钍散裂废料
qmd:waste_spallation:9, 镭散裂废料
qmd:waste_spallation:10, 钋散裂废料
qmd:waste_spallation:11, 铋散裂废料
qmd:waste_spallation:12, 铅散裂废料
qmd:waste_spallation:13, 金散裂废料
qmd:waste_spallation:14, 铂散裂废料
qmd:waste_spallation:15, 铱散裂废料
qmd:waste_spallation2:0, 锇散裂废料
qmd:waste_spallation2:1, 钨散裂废料
qmd:waste_spallation2:2, 铪散裂废料
qmd:sword_tungsten_carbide, 碳化钨剑
qmd:pickaxe_tungsten_carbide, 碳化钨镐
qmd:shovel_tungsten_carbide, 碳化钨锹
qmd:axe_tungsten_carbide, 碳化钨斧
qmd:hoe_tungsten_carbide, 碳化钨锄
qmd:flesh, 没那么腐的肉
qmd:cell:0, 空单元
qmd:cell:1, 反氢单元
qmd:cell:2, 反氘单元
qmd:cell:3, 反氚单元
qmd:cell:4, 反氦-3 单元
qmd:cell:5, 反氦单元
qmd:cell:6, 正电子偶素单元
qmd:cell:7, μ 轻子偶素单元
qmd:cell:8, τ 轻子偶素单元
qmd:cell:9, 胶子单元
qmd:lepton_cannon, 轻子炮
qmd:gluon_gun, 胶子枪
qmd:copernicium:0, 鿔-291
qmd:copernicium:1, 鿔-291 碳化物
qmd:copernicium:2, 鿔-291 氧化物
qmd:copernicium:3, 鿔-291 氮化物
qmd:copernicium:4, 鿔-291-锆合金
qmd:pellet_copernicium:0, 混合物-291 燃料
qmd:pellet_copernicium:1, 混合物-291 燃料 碳化物
qmd:fuel_copernicium:0, 混合 TRISO-291 燃料颗粒
qmd:fuel_copernicium:1, 混合氧化物-291 燃料丸
qmd:fuel_copernicium:2, 混合氮化物-291 燃料丸
qmd:fuel_copernicium:3, 混合锆合金-291 燃料丸
qmd:depleted_fuel_copernicium:0, 枯竭 混合 TRISO-291 燃料颗粒
qmd:depleted_fuel_copernicium:1, 枯竭 混合氧化物-291 燃料丸
qmd:depleted_fuel_copernicium:2, 枯竭 混合氮化物-291 燃料丸
qmd:depleted_fuel_copernicium:3, 枯竭 混合锆合金-291 燃料丸
qmd:fluid_hydrochloric_acid, 盐酸
qmd:fluid_nitric_acid, 硝酸
qmd:fluid_sodium_chloride_solution, 氯化钠溶液
qmd:fluid_sodium_nitrate_solution, 硝酸钠溶液
qmd:fluid_lead_nitrate_solution, 硝酸铅溶液
qmd:fluid_sodium_tungstate_solution, 钨酸钠溶液
qmd:fluid_lead_tungstate_solution, 钨酸铅溶液
qmd:fluid_liquid_hydrogen, 液氢
qmd:fluid_liquid_argon, 液氩
qmd:fluid_liquid_neon, 液氖
qmd:fluid_liquid_oxygen, 液氧
qmd:fluid_argon, 氩
qmd:fluid_neon, 氖
qmd:fluid_chlorine, 氯
qmd:fluid_nitric_oxide, 一氧化氮
qmd:fluid_nitrogen_dioxide, 二氧化氮
qmd:fluid_silicon, 熔融硅
qmd:fluid_yag, 熔融钇铝石榴石
qmd:fluid_nd_yag, 熔融掺钕钇铝石榴石
qmd:fluid_antihydrogen, 反氢
qmd:fluid_antideuterium, 反氘
qmd:fluid_antitritium, 反氚
qmd:fluid_antihelium3, 反氦-3
qmd:fluid_antihelium, 反氦
qmd:fluid_positronium, 正电子偶素
qmd:fluid_muonium, μ轻子偶素
qmd:fluid_tauonium, τ轻子偶素
qmd:fluid_glueballs, 胶球
thermaldynamics:duct_0:0, 铅石能量管道
thermaldynamics:duct_0:1, 硬化能量管道
thermaldynamics:duct_0:2, 红石能量管道
thermaldynamics:duct_0:3, 信素能量管道
thermaldynamics:duct_0:4, 谐振能量管道
thermaldynamics:duct_0:5, 凛冰固化能量管道
thermaldynamics:duct_0:6, 红石能量管道（空）
thermaldynamics:duct_0:7, 信素能量管道（空）
thermaldynamics:duct_0:8, 谐振能量管道（空）
thermaldynamics:duct_0:9, 凛冰固化能量管道（空）
thermaldynamics:duct_16:0, 约束流体管道
thermaldynamics:duct_16:1, 不透明约束流体管道
thermaldynamics:duct_16:2, 硬化流体管道
thermaldynamics:duct_16:3, 不透明硬化流体管道
thermaldynamics:duct_16:4, 信素流体管道
thermaldynamics:duct_16:5, 不透明信素流体管道
thermaldynamics:duct_16:6, 极速层流流体管道
thermaldynamics:duct_16:7, 不透明极速层流流体管道
thermaldynamics:duct_32:0, 真空基础物品管道
thermaldynamics:duct_32:0, 致密基础物品管道
thermaldynamics:duct_32:0, 基础物品管道
thermaldynamics:duct_32:1, 真空不透明基础物品管道
thermaldynamics:duct_32:1, 致密不透明基础物品管道
thermaldynamics:duct_32:1, 不透明基础物品管道
thermaldynamics:duct_32:2, 真空动能物品管道
thermaldynamics:duct_32:2, 致密动能物品管道
thermaldynamics:duct_32:2, 动能物品管道
thermaldynamics:duct_32:3, 真空不透明动能物品管道
thermaldynamics:duct_32:3, 致密不透明动能物品管道
thermaldynamics:duct_32:3, 不透明动能物品管道
thermaldynamics:duct_32:4, 真空信素物品管道
thermaldynamics:duct_32:4, 致密信素物品管道
thermaldynamics:duct_32:4, 信素物品管道
thermaldynamics:duct_32:5, 真空不透明信素物品管道
thermaldynamics:duct_32:5, 致密不透明信素物品管道
thermaldynamics:duct_32:5, 不透明信素物品管道
thermaldynamics:duct_32:6, 真空信素推进物品管道
thermaldynamics:duct_32:6, 致密信素推进物品管道
thermaldynamics:duct_32:6, 信素推进物品管道
thermaldynamics:duct_32:7, 真空不透明信素推进物品管道
thermaldynamics:duct_32:7, 致密不透明信素推进物品管道
thermaldynamics:duct_32:7, 不透明信素推进物品管道
thermaldynamics:duct_48:0, 结构管道
thermaldynamics:duct_64:0, 旅行管道
thermaldynamics:duct_64:1, 远程旅行管道
thermaldynamics:duct_64:2, 远程连接旅行管道
thermaldynamics:duct_64:3, 旅行管道（未处理）
thermaldynamics:servo:0, 伺服器
thermaldynamics:servo:1, 硬化伺服器
thermaldynamics:servo:2, 强化伺服器
thermaldynamics:servo:3, 信素伺服器
thermaldynamics:servo:4, 谐振伺服器
thermaldynamics:filter:0, 过滤器
thermaldynamics:filter:1, 硬化过滤器
thermaldynamics:filter:2, 强化过滤器
thermaldynamics:filter:3, 信素过滤器
thermaldynamics:filter:4, 谐振过滤器
thermaldynamics:retriever:0, 检索器
thermaldynamics:retriever:1, 硬化检索器
thermaldynamics:retriever:2, 强化检索器
thermaldynamics:retriever:3, 信素检索器
thermaldynamics:retriever:4, 谐振检索器
thermaldynamics:relay:0, 红石信号中继器
thermaldynamics:cover:0, 覆盖板：石头
thermaldynamics:cover:0, 覆盖板：花岗岩
thermaldynamics:cover:0, 覆盖板：磨制花岗岩
thermaldynamics:cover:0, 覆盖板：闪长岩
thermaldynamics:cover:0, 覆盖板：磨制闪长岩
thermaldynamics:cover:0, 覆盖板：安山岩
thermaldynamics:cover:0, 覆盖板：磨制安山岩
thermaldynamics:cover:0, 覆盖板：草方块
thermaldynamics:cover:0, 覆盖板：泥土
thermaldynamics:cover:0, 覆盖板：砂土
thermaldynamics:cover:0, 覆盖板：灰化土
thermaldynamics:cover:0, 覆盖板：圆石
thermaldynamics:cover:0, 覆盖板：橡木木板
thermaldynamics:cover:0, 覆盖板：云杉木板
thermaldynamics:cover:0, 覆盖板：白桦木板
thermaldynamics:cover:0, 覆盖板：丛林木板
thermaldynamics:cover:0, 覆盖板：金合欢木板
thermaldynamics:cover:0, 覆盖板：深色橡木木板
thermaldynamics:cover:0, 覆盖板：基岩
thermaldynamics:cover:0, 覆盖板：沙子
thermaldynamics:cover:0, 覆盖板：红沙
thermaldynamics:cover:0, 覆盖板：沙砾
thermaldynamics:cover:0, 覆盖板：金矿石
thermaldynamics:cover:0, 覆盖板：铁矿石
thermaldynamics:cover:0, 覆盖板：煤炭
thermaldynamics:cover:0, 覆盖板：橡木
thermaldynamics:cover:0, 覆盖板：云杉木
thermaldynamics:cover:0, 覆盖板：白桦木
thermaldynamics:cover:0, 覆盖板：丛林木
thermaldynamics:cover:0, 覆盖板：橡树树叶
thermaldynamics:cover:0, 覆盖板：云杉树叶
thermaldynamics:cover:0, 覆盖板：白桦树叶
thermaldynamics:cover:0, 覆盖板：丛林树叶
thermaldynamics:cover:0, 覆盖板：海绵
thermaldynamics:cover:0, 覆盖板：湿海绵
thermaldynamics:cover:0, 覆盖板：玻璃
thermaldynamics:cover:0, 覆盖板：青金石矿石
thermaldynamics:cover:0, 覆盖板：青金石块
thermaldynamics:cover:0, 覆盖板：砂岩
thermaldynamics:cover:0, 覆盖板：錾制砂岩
thermaldynamics:cover:0, 覆盖板：平滑砂岩
thermaldynamics:cover:0, 覆盖板：白色羊毛
thermaldynamics:cover:0, 覆盖板：橙色羊毛
thermaldynamics:cover:0, 覆盖板：品红色羊毛
thermaldynamics:cover:0, 覆盖板：淡蓝色羊毛
thermaldynamics:cover:0, 覆盖板：黄色羊毛
thermaldynamics:cover:0, 覆盖板：黄绿色羊毛
thermaldynamics:cover:0, 覆盖板：粉红色羊毛
thermaldynamics:cover:0, 覆盖板：灰色羊毛
thermaldynamics:cover:0, 覆盖板：淡灰色羊毛
thermaldynamics:cover:0, 覆盖板：青色羊毛
thermaldynamics:cover:0, 覆盖板：紫色羊毛
thermaldynamics:cover:0, 覆盖板：蓝色羊毛
thermaldynamics:cover:0, 覆盖板：棕色羊毛
thermaldynamics:cover:0, 覆盖板：绿色羊毛
thermaldynamics:cover:0, 覆盖板：红色羊毛
thermaldynamics:cover:0, 覆盖板：黑色羊毛
thermaldynamics:cover:0, 覆盖板：金块
thermaldynamics:cover:0, 覆盖板：铁块
thermaldynamics:cover:0, 覆盖板：石台阶
thermaldynamics:cover:0, 覆盖板：砂岩台阶
thermaldynamics:cover:0, 覆盖板：圆石台阶
thermaldynamics:cover:0, 覆盖板：砖台阶
thermaldynamics:cover:0, 覆盖板：石砖台阶
thermaldynamics:cover:0, 覆盖板：地狱砖台阶
thermaldynamics:cover:0, 覆盖板：石英台阶
thermaldynamics:cover:0, 覆盖板：砖块
thermaldynamics:cover:0, 覆盖板：TNT
thermaldynamics:cover:0, 覆盖板：书架
thermaldynamics:cover:0, 覆盖板：苔石
thermaldynamics:cover:0, 覆盖板：黑曜石
thermaldynamics:cover:0, 覆盖板：橡木楼梯
thermaldynamics:cover:0, 覆盖板：钻石矿石
thermaldynamics:cover:0, 覆盖板：钻石块
thermaldynamics:cover:0, 覆盖板：工作台
thermaldynamics:cover:0, 覆盖板：圆石楼梯
thermaldynamics:cover:0, 覆盖板：红石矿
thermaldynamics:cover:0, 覆盖板：冰
thermaldynamics:cover:0, 覆盖板：雪
thermaldynamics:cover:0, 覆盖板：仙人掌
thermaldynamics:cover:0, 覆盖板：粘土块
thermaldynamics:cover:0, 覆盖板：南瓜
thermaldynamics:cover:0, 覆盖板：地狱岩
thermaldynamics:cover:0, 覆盖板：灵魂沙
thermaldynamics:cover:0, 覆盖板：荧石
thermaldynamics:cover:0, 覆盖板：南瓜灯
thermaldynamics:cover:0, 覆盖板：白色染色玻璃
thermaldynamics:cover:0, 覆盖板：橙色染色玻璃
thermaldynamics:cover:0, 覆盖板：品红色染色玻璃
thermaldynamics:cover:0, 覆盖板：淡蓝色染色玻璃
thermaldynamics:cover:0, 覆盖板：黄色染色玻璃
thermaldynamics:cover:0, 覆盖板：黄绿色染色玻璃
thermaldynamics:cover:0, 覆盖板：粉红色染色玻璃
thermaldynamics:cover:0, 覆盖板：灰色染色玻璃
thermaldynamics:cover:0, 覆盖板：淡灰色染色玻璃
thermaldynamics:cover:0, 覆盖板：青色染色玻璃
thermaldynamics:cover:0, 覆盖板：紫色染色玻璃
thermaldynamics:cover:0, 覆盖板：蓝色染色玻璃
thermaldynamics:cover:0, 覆盖板：棕色染色玻璃
thermaldynamics:cover:0, 覆盖板：绿色染色玻璃
thermaldynamics:cover:0, 覆盖板：红色染色玻璃
thermaldynamics:cover:0, 覆盖板：黑色染色玻璃
thermaldynamics:cover:0, 覆盖板：石头怪物蛋
thermaldynamics:cover:0, 覆盖板：圆石怪物蛋
thermaldynamics:cover:0, 覆盖板：石砖怪物蛋
thermaldynamics:cover:0, 覆盖板：苔石砖怪物蛋
thermaldynamics:cover:0, 覆盖板：裂石砖怪物蛋
thermaldynamics:cover:0, 覆盖板：錾制石砖怪物蛋
thermaldynamics:cover:0, 覆盖板：石砖
thermaldynamics:cover:0, 覆盖板：苔石砖
thermaldynamics:cover:0, 覆盖板：裂石砖
thermaldynamics:cover:0, 覆盖板：錾制石砖
thermaldynamics:cover:0, 覆盖板：铁栏杆
thermaldynamics:cover:0, 覆盖板：玻璃板
thermaldynamics:cover:0, 覆盖板：西瓜
thermaldynamics:cover:0, 覆盖板：砖楼梯
thermaldynamics:cover:0, 覆盖板：石砖楼梯
thermaldynamics:cover:0, 覆盖板：菌丝
thermaldynamics:cover:0, 覆盖板：地狱砖
thermaldynamics:cover:0, 覆盖板：地狱砖楼梯
thermaldynamics:cover:0, 覆盖板：末地传送门
thermaldynamics:cover:0, 覆盖板：末地石
thermaldynamics:cover:0, 覆盖板：红石灯
thermaldynamics:cover:0, 覆盖板：橡木台阶
thermaldynamics:cover:0, 覆盖板：云杉木台阶
thermaldynamics:cover:0, 覆盖板：桦木台阶
thermaldynamics:cover:0, 覆盖板：丛林木台阶
thermaldynamics:cover:0, 覆盖板：金合欢木台阶
thermaldynamics:cover:0, 覆盖板：深色橡木台阶
thermaldynamics:cover:0, 覆盖板：砂岩楼梯
thermaldynamics:cover:0, 覆盖板：绿宝石矿石
thermaldynamics:cover:0, 覆盖板：绊线钩
thermaldynamics:cover:0, 覆盖板：绿宝石块
thermaldynamics:cover:0, 覆盖板：云杉木楼梯
thermaldynamics:cover:0, 覆盖板：桦木楼梯
thermaldynamics:cover:0, 覆盖板：丛林木楼梯
thermaldynamics:cover:0, 覆盖板：红石块
thermaldynamics:cover:0, 覆盖板：下界石英矿石
thermaldynamics:cover:0, 覆盖板：石英块
thermaldynamics:cover:0, 覆盖板：錾制石英块
thermaldynamics:cover:0, 覆盖板：竖纹石英块
thermaldynamics:cover:0, 覆盖板：石英楼梯
thermaldynamics:cover:0, 覆盖板：白色陶瓦
thermaldynamics:cover:0, 覆盖板：橙色陶瓦
thermaldynamics:cover:0, 覆盖板：品红色陶瓦
thermaldynamics:cover:0, 覆盖板：淡蓝色陶瓦
thermaldynamics:cover:0, 覆盖板：黄色陶瓦
thermaldynamics:cover:0, 覆盖板：黄绿色陶瓦
thermaldynamics:cover:0, 覆盖板：粉红色陶瓦
thermaldynamics:cover:0, 覆盖板：灰色陶瓦
thermaldynamics:cover:0, 覆盖板：淡灰色陶瓦
thermaldynamics:cover:0, 覆盖板：青色陶瓦
thermaldynamics:cover:0, 覆盖板：紫色陶瓦
thermaldynamics:cover:0, 覆盖板：蓝色陶瓦
thermaldynamics:cover:0, 覆盖板：棕色陶瓦
thermaldynamics:cover:0, 覆盖板：绿色陶瓦
thermaldynamics:cover:0, 覆盖板：红色陶瓦
thermaldynamics:cover:0, 覆盖板：黑色陶瓦
thermaldynamics:cover:0, 覆盖板：白色染色玻璃板
thermaldynamics:cover:0, 覆盖板：橙色染色玻璃板
thermaldynamics:cover:0, 覆盖板：品红色染色玻璃板
thermaldynamics:cover:0, 覆盖板：淡蓝色染色玻璃板
thermaldynamics:cover:0, 覆盖板：黄色染色玻璃板
thermaldynamics:cover:0, 覆盖板：黄绿色染色玻璃板
thermaldynamics:cover:0, 覆盖板：粉红色染色玻璃板
thermaldynamics:cover:0, 覆盖板：灰色染色玻璃板
thermaldynamics:cover:0, 覆盖板：淡灰色染色玻璃板
thermaldynamics:cover:0, 覆盖板：青色染色玻璃板
thermaldynamics:cover:0, 覆盖板：紫色染色玻璃板
thermaldynamics:cover:0, 覆盖板：蓝色染色玻璃板
thermaldynamics:cover:0, 覆盖板：棕色染色玻璃板
thermaldynamics:cover:0, 覆盖板：绿色染色玻璃板
thermaldynamics:cover:0, 覆盖板：红色染色玻璃板
thermaldynamics:cover:0, 覆盖板：黑色染色玻璃板
thermaldynamics:cover:0, 覆盖板：金合欢树叶
thermaldynamics:cover:0, 覆盖板：深色橡树树叶
thermaldynamics:cover:0, 覆盖板：金合欢木
thermaldynamics:cover:0, 覆盖板：深色橡木
thermaldynamics:cover:0, 覆盖板：金合欢木楼梯
thermaldynamics:cover:0, 覆盖板：深色橡木楼梯
thermaldynamics:cover:0, 覆盖板：粘液块
thermaldynamics:cover:0, 覆盖板：海晶石
thermaldynamics:cover:0, 覆盖板：海晶石砖
thermaldynamics:cover:0, 覆盖板：暗海晶石
thermaldynamics:cover:0, 覆盖板：海晶灯
thermaldynamics:cover:0, 覆盖板：干草块
thermaldynamics:cover:0, 覆盖板：陶瓦
thermaldynamics:cover:0, 覆盖板：煤炭块
thermaldynamics:cover:0, 覆盖板：浮冰
thermaldynamics:cover:0, 覆盖板：红砂岩
thermaldynamics:cover:0, 覆盖板：錾制红砂岩
thermaldynamics:cover:0, 覆盖板：平滑红砂岩
thermaldynamics:cover:0, 覆盖板：红砂岩楼梯
thermaldynamics:cover:0, 覆盖板：红砂岩台阶
thermaldynamics:cover:0, 覆盖板：紫珀块
thermaldynamics:cover:0, 覆盖板：竖纹紫珀块
thermaldynamics:cover:0, 覆盖板：紫珀楼梯
thermaldynamics:cover:0, 覆盖板：紫珀台阶
thermaldynamics:cover:0, 覆盖板：末地石砖
thermaldynamics:cover:0, 覆盖板：岩浆块
thermaldynamics:cover:0, 覆盖板：地狱疣块
thermaldynamics:cover:0, 覆盖板：红色地狱砖
thermaldynamics:cover:0, 覆盖板：骨块
thermaldynamics:cover:0, 覆盖板：侦测器
thermaldynamics:cover:0, 覆盖板：白色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：橙色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：品红色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：淡蓝色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：黄色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：黄绿色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：粉红色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：灰色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：淡灰色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：青色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：紫色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：蓝色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：棕色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：绿色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：红色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：黑色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：白色混凝土
thermaldynamics:cover:0, 覆盖板：橙色混凝土
thermaldynamics:cover:0, 覆盖板：品红色混凝土
thermaldynamics:cover:0, 覆盖板：淡蓝色混凝土
thermaldynamics:cover:0, 覆盖板：黄色混凝土
thermaldynamics:cover:0, 覆盖板：黄绿色混凝土
thermaldynamics:cover:0, 覆盖板：粉红色混凝土
thermaldynamics:cover:0, 覆盖板：灰色混凝土
thermaldynamics:cover:0, 覆盖板：淡灰色混凝土
thermaldynamics:cover:0, 覆盖板：青色混凝土
thermaldynamics:cover:0, 覆盖板：紫色混凝土
thermaldynamics:cover:0, 覆盖板：蓝色混凝土
thermaldynamics:cover:0, 覆盖板：棕色混凝土
thermaldynamics:cover:0, 覆盖板：绿色混凝土
thermaldynamics:cover:0, 覆盖板：红色混凝土
thermaldynamics:cover:0, 覆盖板：黑色混凝土
thermaldynamics:cover:0, 覆盖板：白色混凝土粉末
thermaldynamics:cover:0, 覆盖板：橙色混凝土粉末
thermaldynamics:cover:0, 覆盖板：品红色混凝土粉末
thermaldynamics:cover:0, 覆盖板：淡蓝色混凝土粉末
thermaldynamics:cover:0, 覆盖板：黄色混凝土粉末
thermaldynamics:cover:0, 覆盖板：黄绿色混凝土粉末
thermaldynamics:cover:0, 覆盖板：粉红色混凝土粉末
thermaldynamics:cover:0, 覆盖板：灰色混凝土粉末
thermaldynamics:cover:0, 覆盖板：淡灰色混凝土粉末
thermaldynamics:cover:0, 覆盖板：青色混凝土粉末
thermaldynamics:cover:0, 覆盖板：紫色混凝土粉末
thermaldynamics:cover:0, 覆盖板：蓝色混凝土粉末
thermaldynamics:cover:0, 覆盖板：棕色混凝土粉末
thermaldynamics:cover:0, 覆盖板：绿色混凝土粉末
thermaldynamics:cover:0, 覆盖板：红色混凝土粉末
thermaldynamics:cover:0, 覆盖板：黑色混凝土粉末
thermaldynamics:cover:0, 覆盖板：玄武岩
thermaldynamics:cover:0, 覆盖板：铜矿石
thermaldynamics:cover:0, 覆盖板：铅矿石
thermaldynamics:cover:0, 覆盖板：锡矿石
thermaldynamics:cover:0, 覆盖板：铀矿石
thermaldynamics:cover:0, 覆盖板：青铜块
thermaldynamics:cover:0, 覆盖板：铜块
thermaldynamics:cover:0, 覆盖板：铅块
thermaldynamics:cover:0, 覆盖板：钢块
thermaldynamics:cover:0, 覆盖板：锡块
thermaldynamics:cover:0, 覆盖板：铀块
thermaldynamics:cover:0, 覆盖板：防爆石
thermaldynamics:cover:0, 覆盖板：基础机械外壳
thermaldynamics:cover:0, 覆盖板：高级机械外壳
thermaldynamics:cover:0, 覆盖板：核反应堆压力容器
thermaldynamics:cover:0, 覆盖板：银块
thermaldynamics:cover:0, 覆盖板：橡胶树树叶
thermaldynamics:cover:0, 覆盖板：橡胶树原木
thermaldynamics:cover:0, 覆盖板：橡胶树树苗
thermaldynamics:cover:0, 覆盖板：脚手架
thermaldynamics:cover:0, 覆盖板：强化脚手架
thermaldynamics:cover:0, 覆盖板：铁质脚手架
thermaldynamics:cover:0, 覆盖板：强化铁质脚手架
thermaldynamics:cover:0, 覆盖板：铁栅栏
thermaldynamics:cover:0, 覆盖板：树脂垫
thermaldynamics:cover:0, 覆盖板：橡胶垫
thermaldynamics:cover:0, 覆盖板：羊毛垫
thermaldynamics:cover:0, 覆盖板：防爆玻璃
thermaldynamics:cover:0, 覆盖板：建筑泡沫
thermaldynamics:cover:0, 覆盖板：强化建筑泡沫
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（黑色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（蓝色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（棕色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（青色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（灰色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（绿色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（淡蓝色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（淡灰色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（黄绿色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（品红色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（橙色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（粉红色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（紫色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（红色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（白色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（黄色）
thermaldynamics:cover:0, 覆盖板：采矿管道
thermaldynamics:cover:0, 覆盖板：防爆门
thermaldynamics:cover:0, 覆盖板：耐火砖
thermaldynamics:cover:0, 覆盖板：UU物质
thermaldynamics:cover:0, 覆盖板：建筑泡沫
thermaldynamics:cover:0, 覆盖板：IC2冷却液
